time;v;t;i;SOC;bal;chg
00:00:00;48,94;29,0;0;70;0;0
00:00:01;48,94;29,0;0;70;0;0
00:00:02;48,94;29,0;0;70;0;0
00:00:03;48,94;29,0;0;70;0;0
00:00:04;48,94;29,0;0;70;0;0
00:00:05;48,94;29,0;0;70;0;0
00:00:07;48,94;29,0;0;70;0;0
00:00:08;48,94;29,0;0;70;0;0
00:00:09;48,94;29,0;0;70;0;0
00:00:10;48,94;29,0;0;70;0;0
00:00:11;48,94;29,0;0;70;0;0
00:00:12;48,94;29,0;0;70;0;0
00:00:13;48,94;29,0;0;70;0;0
00:00:14;48,94;29,0;0;70;0;0
00:00:15;48,94;29,0;0;70;0;0
00:00:16;48,94;29,0;0;70;0;0
00:00:17;48,94;29,0;0;70;0;0
00:00:19;48,94;29,0;0;70;0;0
00:00:20;48,94;29,0;0;70;0;0
00:00:21;48,94;29,0;0;70;0;0
00:00:22;48,94;29,0;0;70;0;0
00:00:23;48,94;29,0;0;70;0;0
00:00:24;48,94;29,0;0;70;0;0
00:00:25;48,94;29,0;0;70;0;0
00:00:26;48,94;29,0;0;70;0;0
00:00:27;48,94;29,0;0;70;0;0
00:00:28;48,94;29,0;0;70;0;0
00:00:29;48,94;29,0;0;70;0;0
00:00:30;48,94;29,0;0;70;0;0
00:00:31;48,94;29,0;0;70;0;0
00:00:32;48,94;29,0;0;70;0;0
00:00:33;48,94;29,0;0;70;0;0
00:00:34;48,94;29,0;0;70;0;0
00:00:35;48,94;29,0;0;70;0;0
00:00:36;48,94;29,0;0;70;0;0
00:00:37;48,94;29,0;0;70;0;0
00:00:38;48,94;29,0;0;70;0;0
00:00:39;48,94;29,0;0;70;0;0
00:00:40;48,94;29,0;0;70;0;0
00:00:42;48,94;29,0;0;70;0;0
00:00:43;48,94;29,0;0;70;0;0
00:00:44;48,94;29,0;0;70;0;0
00:00:45;48,94;29,0;0;70;0;0
00:00:46;48,94;29,0;0;70;0;0
00:00:47;48,94;29,0;0;70;0;0
00:00:48;48,94;29,0;0;70;0;0
00:00:49;48,94;29,0;0;70;0;0
00:00:50;48,94;29,0;0;70;0;0
00:00:51;48,94;29,0;0;70;0;0
00:00:53;48,94;29,0;0;70;0;0
00:00:54;48,94;29,0;0;70;0;0
00:00:55;48,94;29,0;0;70;0;0
00:00:56;48,94;29,0;0;70;0;0
00:00:57;48,94;29,0;0;70;0;0
00:00:59;48,94;29,0;0;70;0;0
00:01:00;48,94;29,0;0;70;0;0
00:01:01;48,94;29,0;0;70;0;0
00:01:02;48,94;29,0;0;70;0;0
00:01:03;48,94;29,0;0;70;0;0
00:01:04;48,94;29,0;0;70;0;0
00:01:05;48,94;29,0;0;70;0;0
00:01:06;48,94;29,0;0;70;0;0
00:01:07;48,94;29,0;0;70;0;0
00:01:08;48,94;29,0;0;70;0;0
00:01:09;48,94;29,0;0;70;0;0
00:01:10;48,94;29,0;0;70;0;0
00:01:11;48,94;29,0;0;70;0;0
00:01:13;48,94;29,0;0;70;0;0
00:01:14;48,94;29,0;0;70;0;0
00:01:15;48,94;29,0;0;70;0;0
00:01:16;48,94;29,0;0;70;0;0
00:01:18;48,94;29,0;0;70;0;0
00:01:19;48,94;29,0;0;70;0;0
00:01:20;48,94;29,0;0;70;0;0
00:01:21;48,94;29,0;0;70;0;0
00:01:22;48,94;29,0;0;70;0;0
00:01:24;48,94;29,0;0;70;0;0
00:01:25;48,94;29,0;0;70;0;0
00:01:26;48,94;29,0;0;70;0;0
00:01:27;48,94;29,0;0;70;0;0
00:01:28;48,94;29,0;0;70;0;0
00:01:29;48,94;29,0;0;70;0;0
00:01:30;48,94;29,0;0;70;0;0
00:01:31;48,94;29,0;0;70;0;0
00:01:32;48,94;29,0;0;70;0;0
00:01:33;48,94;29,0;0;70;0;0
00:01:34;48,94;29,0;0;70;0;0
00:01:35;48,94;29,0;0;70;0;0
00:01:36;48,94;29,0;0;70;0;0
00:01:37;48,94;29,0;0;70;0;0
00:01:38;48,94;29,0;0;70;0;0
00:01:39;48,94;29,0;0;70;0;0
00:01:40;48,94;29,0;0;70;0;0
00:01:41;48,94;29,0;0;70;0;0
00:01:42;48,94;29,0;0;70;0;0
00:01:43;48,94;29,0;0;70;0;0
00:01:44;48,94;29,0;0;70;0;0
00:01:45;48,94;29,0;0;70;0;0
00:01:46;48,94;29,0;0;70;0;0
00:01:47;48,94;29,0;0;70;0;0
00:01:49;48,94;29,0;0;70;0;0
00:01:50;48,94;29,0;0;70;0;0
00:01:51;48,94;29,0;0;70;0;0
00:01:52;48,94;29,0;0;70;0;0
00:01:53;48,94;29,0;0;70;0;0
00:01:55;48,94;29,0;0;70;0;0
00:01:56;48,94;29,0;0;70;0;0
00:01:57;48,94;29,0;0;70;0;0
00:01:58;48,94;29,0;0;70;0;0
00:01:59;48,94;29,0;0;70;0;0
00:02:00;48,94;29,0;0;70;0;0
00:02:01;48,94;29,0;0;70;0;0
00:02:03;48,94;29,0;0;70;0;0
00:02:04;48,94;29,0;0;70;0;0
00:02:05;48,94;29,0;0;70;0;0
00:02:06;48,94;29,0;0;70;0;0
00:02:08;48,94;29,0;0;70;0;0
00:02:09;48,94;29,0;0;70;0;0
00:02:10;48,94;29,0;0;70;0;0
00:02:11;48,94;29,0;0;70;0;0
00:02:12;48,94;29,0;0;70;0;0
00:02:13;48,94;29,0;0;70;0;0
00:02:14;48,94;29,0;0;70;0;0
00:02:15;48,94;29,0;0;70;0;0
00:02:16;48,94;29,0;0;70;0;0
00:02:18;48,94;29,0;0;70;0;0
00:02:19;48,94;29,0;0;70;0;0
00:02:20;48,94;29,0;0;70;0;0
00:02:21;48,94;29,0;0;70;0;0
00:02:23;48,94;29,0;0;70;0;0
00:02:24;48,94;29,0;0;70;0;0
00:02:25;48,94;29,0;0;70;0;0
00:02:26;48,94;29,0;0;70;0;0
